candidate_id,race_id,district_id,year,state,district,candidate_name,party,candidate_votes,total_votes,FEC_candidate_id,CAND_ICI,TTL_DISB
2016_H2AL03032,AL_3_2016,AL_3,2016,ALABAMA,3,MIKE ROGERS,Republican,192164,287104,H2AL03032,I,1071289.42
2016_H4AL03061,AL_3_2016,AL_3,2016,ALABAMA,3,JESSE SMITH,Democrat,94549,287104,H4AL03061,C,7348.0
2018_H2AL03032,AL_3_2018,AL_3,2018,ALABAMA,3,MIKE ROGERS,Republican,147770,231915,H2AL03032,I,1348278.3
2018_H8AL03054,AL_3_2018,AL_3,2018,ALABAMA,3,MALLORY HAGAN,Democrat,83996,231915,H8AL03054,C,464472.2
2020_H8AL03062,AL_3_2020,AL_3,2020,ALABAMA,3,ADIA WINFREY,Democrat,104595,322234,H8AL03062,C,41221.09
2020_H2AL03032,AL_3_2020,AL_3,2020,ALABAMA,3,MIKE ROGERS,Republican,217384,322234,H2AL03032,I,1228340.4
2010_H6AL04098,AL_4_2010,AL_4,2010,ALABAMA,4,ROBERT B ADERHOLT,Republican,167714,169721,H6AL04098,I,969814.03
2012_H2AL04055,AL_4_2012,AL_4,2012,ALABAMA,4,DANIEL H BOMAN,Democrat,69706,269118,H2AL04055,C,5575.0
2012_H6AL04098,AL_4_2012,AL_4,2012,ALABAMA,4,ROBERT B ADERHOLT,Republican,199071,269118,H6AL04098,I,1140896.88
2014_H6AL04098,AL_4_2014,AL_4,2014,ALABAMA,4,ROBERT B ADERHOLT,Republican,132831,134752,H6AL04098,I,909880.91
2016_H6AL04098,AL_4_2016,AL_4,2016,ALABAMA,4,ROBERT B ADERHOLT,Republican,235925,239444,H6AL04098,I,1394461.23
2018_H8AL04094,AL_4_2018,AL_4,2018,ALABAMA,4,LEE AUMAN,Democrat,46492,230969,H8AL04094,C,77551.69
2018_H6AL04098,AL_4_2018,AL_4,2018,ALABAMA,4,ROBERT ADERHOLT,Republican,184255,230969,H6AL04098,I,1300365.01
2020_H8AL04086,AL_4_2020,AL_4,2020,ALABAMA,4,RICK NEIGHBORS,Democrat,56237,318029,H8AL04086,C,47908.58
2020_H6AL04098,AL_4_2020,AL_4,2020,ALABAMA,4,ROBERT B ADERHOLT,Republican,261553,318029,H6AL04098,I,1352138.08
2010_H0AL05197,AL_5_2010,AL_5,2010,ALABAMA,5,STEVE RABY,Democrat,95192,226490,H0AL05197,C,777837.46
2010_H0AL05163,AL_5_2010,AL_5,2010,ALABAMA,5,MO BROOKS,Republican,131109,226490,H0AL05163,C,910790.4
2012_H2AL05094,AL_5_2012,AL_5,2012,ALABAMA,5,CHARLIE L HOLLEY,Democrat,101772,291293,H2AL05094,C,56123.8
2012_H0AL05163,AL_5_2012,AL_5,2012,ALABAMA,5,MO BROOKS,Republican,189185,291293,H0AL05163,I,455514.82
2014_H0AL05163,AL_5_2014,AL_5,2014,ALABAMA,5,MO BROOKS,Republican,115338,154974,H0AL05163,I,299837.5
2014_H4AL05082,AL_5_2014,AL_5,2014,ALABAMA,5,MARK BRAY,Other,39005,154974,H4AL05082,C,26437.62
2016_H0AL05163,AL_5_2016,AL_5,2016,ALABAMA,5,MO BROOKS,Republican,205647,308326,H0AL05163,I,119723.76
2016_H6AL05202,AL_5_2016,AL_5,2016,ALABAMA,5,WILL BOYD JR,Democrat,102234,308326,H6AL05202,C,61251.11
2018_H8AL05190,AL_5_2018,AL_5,2018,ALABAMA,5,PETER JOFFRION,Democrat,101388,260673,H8AL05190,C,587237.93
2018_H0AL05163,AL_5_2018,AL_5,2018,ALABAMA,5,MO BROOKS,Republican,159063,260673,H0AL05163,I,2006001.97
2020_H0AL05163,AL_5_2020,AL_5,2020,ALABAMA,5,MO BROOKS,Republican,253094,264160,H0AL05163,I,223706.66
2010_H2AL06035,AL_6_2010,AL_6,2010,ALABAMA,6,SPENCER BACHUS,Republican,205288,209364,H2AL06035,I,1634114.19
2012_H2AL06035,AL_6_2012,AL_6,2012,ALABAMA,6,SPENCER BACHUS,Republican,219262,308102,H2AL06035,I,2904500.84
2012_H2AL06142,AL_6_2012,AL_6,2012,ALABAMA,6,PENNY H BAILEY,Democrat,88267,308102,H2AL06142,C,50433.0
2014_H4AL06098,AL_6_2014,AL_6,2014,ALABAMA,6,GARY PALMER,Republican,135945,178449,H4AL06098,O,1690309.21
2014_H4AL06148,AL_6_2014,AL_6,2014,ALABAMA,6,MARK LESTER,Democrat,42291,178449,H4AL06148,O,165464.66
2016_H4AL06098,AL_6_2016,AL_6,2016,ALABAMA,6,GARY J PALMER,Republican,245313,329306,H4AL06098,I,769978.37
2016_H6AL06127,AL_6_2016,AL_6,2016,ALABAMA,6,DAVID J PUTNAM,Democrat,83709,329306,H6AL06127,C,197378.52
2018_H8AL06099,AL_6_2018,AL_6,2018,ALABAMA,6,DANNER KLINE,Democrat,85644,278328,H8AL06099,C,287432.23
2018_H4AL06098,AL_6_2018,AL_6,2018,ALABAMA,6,GARY PALMER,Republican,192542,278328,H4AL06098,I,1496359.76
