race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE
AK_0_2010,AK_0,2010,254335,DON YOUNG,Republican,I,HARRY T CRAWFORD JR,Democrat,C,38.44,887310.33,235571.43,13.0,6.8
AK_0_2012,AK_0,2012,289804,DON YOUNG,Republican,I,SHARON M CISSNA,Democrat,C,35.32,665974.39,24388.0,13.0,-1.1
AK_0_2014,AK_0,2014,279741,DON YOUNG,Republican,I,FORREST DUNBAR,Democrat,C,10.0,809039.2,230088.83,12.0,5.7
AK_0_2016,AK_0,2016,308198,DON YOUNG,Republican,I,STEVE LINDBECK,Democrat,,14.3,1322055.12,1098098.09,12.0,1.1
AK_0_2018,AK_0,2018,282166,DON YOUNG,Republican,I,ALYSE S GALVIN,Democrat,C,6.58,1387687.05,1943398.59,9.0,-8.6
AK_0_2020,AK_0,2020,353165,DON YOUNG,Republican,I,ALYSE S GALVIN,Democrat,C,9.14,1817836.79,5162902.93,9.0,-3.1
AL_1_2010,AL_1,2010,156281,JO BONNER,Republican,I,DAVID WALTER,Other,C,65.72,1101701.0,20045.0,14.0,6.8
AL_1_2014,AL_1,2014,152234,BRADLEY BYRNE,Republican,I,BURTON R LEFLORE,Democrat,C,36.44,1655998.6,35603.0,15.0,5.7
AL_1_2018,AL_1,2018,242617,BRADLEY BYRNE,Republican,I,ROBERT KENNEDY JR,Democrat,C,26.38,834780.43,166845.21,15.0,-8.6
AL_1_2020,AL_1,2020,329075,JERRY CARL,Republican,O,JAMES AVERHART,Democrat,O,28.83,2232543.94,78973.24,15.0,-3.1
AL_2_2010,AL_2,2010,219028,MARTHA ROBY,Republican,C,BOBBY BRIGHT,Democrat,I,2.18,1240275.64,1435626.44,16.0,6.8
AL_2_2012,AL_2,2012,283953,MARTHA ROBY,Republican,I,THERESE FORD,Democrat,,27.29,862502.48,,18.0,-1.1
AL_2_2014,AL_2,2014,167952,MARTHA ROBY,Republican,I,ERICK WRIGHT,Democrat,C,34.78,793565.21,10473.0,17.0,5.7
AL_2_2016,AL_2,2016,276584,MARTHA ROBY,Republican,I,NATHAN MATHIS,Democrat,C,8.24,1850535.64,36844.0,17.0,1.1
AL_2_2018,AL_2,2018,226230,MARTHA ROBY,Republican,I,TABITHA ISNER,Democrat,C,22.96,2277448.83,524941.35,16.0,-8.6
AL_2_2020,AL_2,2020,303569,BARRY MOORE,Republican,O,PHYLLIS HARVEY-HALL,Democrat,O,30.54,836276.8,57661.16,16.0,-3.1
AL_3_2010,AL_3,2010,198139,MIKE ROGERS,Republican,I,STEVE SEGREST,Democrat,C,18.94,979490.74,8750.0,9.0,6.8
AL_3_2012,AL_3,2012,273930,MIKE ROGERS,Republican,I,JOHN ANDREW HARRIS,Democrat,C,28.17,982102.34,4847.71,15.0,-1.1
AL_3_2014,AL_3,2014,156620,MIKE ROGERS,Republican,I,JESSE T SMITH,Democrat,C,32.4,941431.5,9000.0,16.0,5.7
AL_3_2016,AL_3,2016,287104,MIKE ROGERS,Republican,I,JESSE SMITH,Democrat,C,34.0,1071289.42,7348.0,16.0,1.1
AL_3_2018,AL_3,2018,231915,MIKE ROGERS,Republican,I,MALLORY HAGAN,Democrat,C,27.5,1348278.3,464472.2,16.0,-8.6
AL_3_2020,AL_3,2020,322234,MIKE ROGERS,Republican,I,ADIA WINFREY,Democrat,C,35.0,1228340.4,41221.09,16.0,-3.1
AL_4_2012,AL_4,2012,269118,ROBERT B ADERHOLT,Republican,I,DANIEL H BOMAN,Democrat,C,48.07,1140896.88,5575.0,23.0,-1.1
AL_4_2018,AL_4,2018,230969,ROBERT ADERHOLT,Republican,I,LEE AUMAN,Democrat,C,59.65,1300365.01,77551.69,30.0,-8.6
AL_4_2020,AL_4,2020,318029,ROBERT B ADERHOLT,Republican,I,RICK NEIGHBORS,Democrat,C,64.56,1352138.08,47908.58,30.0,-3.1
AL_5_2010,AL_5,2010,226490,MO BROOKS,Republican,I,STEVE RABY,Democrat,C,15.86,910790.4,777837.46,12.0,6.8
AL_5_2012,AL_5,2012,291293,MO BROOKS,Republican,I,CHARLIE L HOLLEY,Democrat,C,30.01,455514.82,56123.8,14.0,-1.1
AL_5_2014,AL_5,2014,154974,MO BROOKS,Republican,I,MARK BRAY,Other,C,49.26,299837.5,26437.62,17.0,5.7
AL_5_2016,AL_5,2016,308326,MO BROOKS,Republican,I,WILL BOYD JR,Democrat,C,33.54,119723.76,61251.11,17.0,1.1
AL_5_2018,AL_5,2018,260673,MO BROOKS,Republican,I,PETER JOFFRION,Democrat,C,22.13,2006001.97,587237.93,18.0,-8.6
AL_6_2012,AL_6,2012,308102,SPENCER BACHUS,Republican,I,PENNY H BAILEY,Democrat,C,42.52,2904500.84,50433.0,28.0,-1.1
AL_6_2014,AL_6,2014,178449,GARY PALMER,Republican,O,MARK LESTER,Democrat,O,52.48,1690309.21,165464.66,28.0,5.7
AL_6_2016,AL_6,2016,329306,GARY J PALMER,Republican,I,DAVID J PUTNAM,Democrat,C,49.07,769978.37,197378.52,28.0,1.1
AL_6_2018,AL_6,2018,278328,GARY PALMER,Republican,I,DANNER KLINE,Democrat,C,38.41,1496359.76,287432.23,26.0,-8.6
AL_7_2010,AL_7,2010,188724,TERRI A SEWELL,Democrat,O,DON CHAMBERLAIN,Republican,O,44.94,1766658.3,42691.0,-18.0,6.8
AL_7_2012,AL_7,2012,306558,TERRI A SEWELL,Democrat,I,DON CHAMBERLAIN,Republican,C,51.76,863803.98,22263.32,-17.0,-1.1
AR_1_2010,AR_1,2010,180016,RICK CRAWFORD,Republican,O,CHAD CAUSEY,Democrat,O,8.31,1249966.21,1613863.42,8.0,6.8
AR_1_2012,AR_1,2012,246843,"ERIC A ""RICK"" CRAWFORD",Republican,I,SCOTT ELLINGTON,Democrat,C,17.1,1274636.11,370676.52,7.0,-1.1
AR_1_2014,AR_1,2014,196256,"ERIC A ""RICK"" CRAWFORD",Republican,I,JACKIE MCPHERSON,Democrat,C,30.87,665075.08,279780.51,14.0,5.7
AR_1_2016,AR_1,2016,241047,"ERIC A ""RICK"" CRAWFORD",Republican,I,MARK WEST,Other,,52.56,808955.49,,14.0,1.1
AR_1_2018,AR_1,2018,201245,RICK CRAWFORD,Republican,I,CHINTAN DESAI,Democrat,C,40.17,966616.64,137153.22,17.0,-8.6
AR_2_2010,AR_2,2010,210852,TIM GRIFFIN,Republican,O,JOYCE ELLIOTT,Democrat,O,19.64,1774143.0,1019386.27,5.0,6.8
AR_2_2012,AR_2,2012,286598,TIM GRIFFIN,Republican,I,HERB RULE,Democrat,C,15.71,1659463.02,238531.58,5.0,-1.1
AR_2_2014,AR_2,2014,237330,FRENCH HILL,Republican,O,PATRICK HENRY HAYS,Democrat,O,8.26,2149743.85,1563841.26,8.0,5.7
AR_2_2016,AR_2,2016,302464,J FRENCH HILL,Republican,I,DIANNE CURRY,Democrat,C,21.53,1640764.53,28822.83,8.0,1.1
AR_2_2018,AR_2,2018,253453,FRENCH HILL,Republican,I,CLARKE TUCKER,Democrat,C,6.31,3536453.22,2359234.62,7.0,-8.6
AR_2_2020,AR_2,2020,332503,J FRENCH HILL,Republican,I,JOYCE ELLIOTT,Democrat,C,10.73,3059235.64,3540156.67,7.0,-3.1
AR_3_2010,AR_3,2010,205123,STEVE WOMACK,Republican,O,DAVID WHITAKER,Democrat,O,44.87,641115.26,77266.01,16.0,6.8
AR_3_2012,AR_3,2012,245660,STEVE WOMACK,Republican,I,REBEKAH J KENNEDY,Other,,59.9,602443.0,,16.0,-1.1
AR_3_2014,AR_3,2014,190935,STEVE WOMACK,Republican,I,GRANT BRAND,Other,,58.83,574943.7,,19.0,5.7
AR_3_2016,AR_3,2016,280907,STEVE WOMACK,Republican,I,STEVE ISAACSON,Other,,54.64,568200.63,,19.0,1.1
AR_3_2018,AR_3,2018,229708,STEVE WOMACK,Republican,I,JOSH MAHONY,Democrat,C,32.11,1218424.03,265214.3,19.0,-8.6
AR_3_2020,AR_3,2020,334262,STEVE WOMACK,Republican,I,CELESTE WILLIAMS,Democrat,C,32.5,924120.94,356059.69,19.0,-3.1
AR_4_2010,AR_4,2010,178134,MIKE ROSS,Democrat,I,BETH ANNE RANKIN,Republican,C,17.38,,595854.94,7.0,6.8
