year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,ILLINOIS,IL,11,False,False,CATALINA LAUF,REPUBLICAN,115069,264241
2022,ILLINOIS,IL,11,False,False,BILL FOSTER,DEMOCRAT,149172,264241
2022,ILLINOIS,IL,12,False,False,MIKE BOST,REPUBLICAN,218379,291171
2022,ILLINOIS,IL,12,False,False,HOMER “CHIP” MARKEL,DEMOCRAT,72791,291171
2022,ILLINOIS,IL,13,False,False,REGAN DEERING,REPUBLICAN,108646,250450
2022,ILLINOIS,IL,13,False,False,NIKKI BUDZINSKI,DEMOCRAT,141788,250450
2022,ILLINOIS,IL,14,False,False,SCOTT R GRYDER,REPUBLICAN,108451,236600
2022,ILLINOIS,IL,14,False,False,LAUREN UNDERWOOD,DEMOCRAT,128141,236600
2022,ILLINOIS,IL,15,False,False,MARY E MILLER,REPUBLICAN,213007,299403
2022,ILLINOIS,IL,15,False,False,PAUL J LANGE,DEMOCRAT,86396,299403
2022,ILLINOIS,IL,16,False,False,DARIN LAHOOD,REPUBLICAN,197621,297946
2022,ILLINOIS,IL,16,False,False,ELIZABETH “LISA” HADERLEIN,DEMOCRAT,100325,297946
2022,ILLINOIS,IL,17,False,False,ESTHER JOY KING,REPUBLICAN,111931,233123
2022,ILLINOIS,IL,17,False,False,ERIC SORENSEN,DEMOCRAT,121186,233123
2022,MARYLAND,MD,1,False,False,ANDY HARRIS,REPUBLICAN,159673,293358
2022,MARYLAND,MD,1,False,False,HEATHER R MIZEUR,DEMOCRAT,126511,293358
2022,MARYLAND,MD,1,False,False,DANIEL FRANK THIBEAULT,LIBERTARIAN,6924,293358
2022,MARYLAND,MD,2,False,False,NICOLEE AMBROSE,REPUBLICAN,109075,268434
2022,MARYLAND,MD,2,False,False,C A DUTCH RUPPERSBERGER,DEMOCRAT,158998,268434
2022,MARYLAND,MD,3,False,False,YURIPZY MORGAN,REPUBLICAN,115801,291602
2022,MARYLAND,MD,3,False,False,JOHN P SARBANES,DEMOCRAT,175514,291602
2022,MARYLAND,MD,4,False,False,JEFF WARNER,REPUBLICAN,15441,160009
2022,MARYLAND,MD,4,False,False,GLENN F IVEY,DEMOCRAT,144168,160009
2022,MARYLAND,MD,5,False,False,CHRIS PALOMBI,REPUBLICAN,94000,276920
2022,MARYLAND,MD,5,False,False,STENY H HOYER,DEMOCRAT,182478,276920
2022,MARYLAND,MD,6,False,False,NEIL C PARROTT,REPUBLICAN,115771,256398
2022,MARYLAND,MD,6,False,False,DAVID J TRONE,DEMOCRAT,140295,256398
2022,MARYLAND,MD,7,False,False,SCOTT M COLLIER,REPUBLICAN,32737,184801
2022,MARYLAND,MD,7,False,False,KWEISI MFUME,DEMOCRAT,151640,184801
2022,MARYLAND,MD,8,False,False,GREGORY THOMAS COLL,REPUBLICAN,47965,264206
2022,MARYLAND,MD,8,False,False,JAMIE RASKIN,DEMOCRAT,211842,264206
2022,MARYLAND,MD,8,False,False,ANDRÉS GARCIA,LIBERTARIAN,4125,264206
2022,MASSACHUSETTS,MA,1,False,False,DEAN JAMES MARTILLI,REPUBLICAN,98386,263651
2022,MASSACHUSETTS,MA,1,False,False,RICHARD E NEAL,DEMOCRAT,157635,263651
2022,MASSACHUSETTS,MA,1,False,False,BLANKS,,7252,263651
2022,MASSACHUSETTS,MA,1,False,False,ALL OTHERS,,378,263651
2022,MASSACHUSETTS,MA,2,False,False,JEFFREY A SOSSA-PAQUETTE,REPUBLICAN,91956,280071
2022,MASSACHUSETTS,MA,2,False,False,JAMES P MCGOVERN,DEMOCRAT,180639,280071
2022,MASSACHUSETTS,MA,2,False,False,BLANKS,,7200,280071
2022,MASSACHUSETTS,MA,2,False,False,ALL OTHERS,,276,280071
2022,MASSACHUSETTS,MA,3,False,False,DEAN A TRAN,REPUBLICAN,88585,251389
2022,MASSACHUSETTS,MA,3,False,False,LORI TRAHAN,DEMOCRAT,154496,251389
2022,MASSACHUSETTS,MA,3,False,False,BLANKS,,8088,251389
2022,MASSACHUSETTS,MA,3,False,False,ALL OTHERS,,220,251389
2022,MASSACHUSETTS,MA,4,False,False,JAKE AUCHINCLOSS,DEMOCRAT,201882,291569
2022,MASSACHUSETTS,MA,4,False,False,BLANKS,,83290,291569
2022,MASSACHUSETTS,MA,4,False,False,ALL OTHERS,,6397,291569
2022,MASSACHUSETTS,MA,5,False,False,CAROLINE COLARUSSO,REPUBLICAN,71491,284881
2022,MASSACHUSETTS,MA,5,False,False,KATHERINE M CLARK,DEMOCRAT,203994,284881
2022,MASSACHUSETTS,MA,5,False,False,BLANKS,,9210,284881
2022,MASSACHUSETTS,MA,5,False,False,ALL OTHERS,,186,284881
2022,MASSACHUSETTS,MA,6,False,False,BOB MAY,REPUBLICAN,110770,323032
2022,MASSACHUSETTS,MA,6,False,False,SETH MOULTON,DEMOCRAT,198119,323032
2022,MASSACHUSETTS,MA,6,False,False,MARK T TASHJIAN,LIBERTARIAN,5995,323032
2022,MASSACHUSETTS,MA,6,False,False,BLANKS,,7951,323032
2022,MASSACHUSETTS,MA,6,False,False,ALL OTHERS,,197,323032
2022,MASSACHUSETTS,MA,7,False,False,"DONNIE DIONICIO PALMER, JR",REPUBLICAN,27129,189830
2022,MASSACHUSETTS,MA,7,False,False,AYANNA PRESSLEY,DEMOCRAT,151825,189830
2022,MASSACHUSETTS,MA,7,False,False,BLANKS,,10319,189830
2022,MASSACHUSETTS,MA,7,False,False,ALL OTHERS,,557,189830
2022,MASSACHUSETTS,MA,8,False,False,ROBERT G BURKE,REPUBLICAN,82126,284583
2022,MASSACHUSETTS,MA,8,False,False,STEPHEN F LYNCH,DEMOCRAT,189987,284583
2022,MASSACHUSETTS,MA,8,False,False,BLANKS,,12019,284583
2022,MASSACHUSETTS,MA,8,False,False,ALL OTHERS,,451,284583
2022,MASSACHUSETTS,MA,9,False,False,JESSE G BROWN,REPUBLICAN,136347,342455
2022,MASSACHUSETTS,MA,9,False,False,WILLIAM R KEATING,DEMOCRAT,197823,342455
2022,MASSACHUSETTS,MA,9,False,False,BLANKS,,8135,342455
2022,MASSACHUSETTS,MA,9,False,False,ALL OTHERS,,150,342455
2022,MICHIGAN,MI,1,False,False,JACK BERGMAN,REPUBLICAN,233094,388599
2022,MICHIGAN,MI,1,False,False,BOB LORINSER,DEMOCRAT,145403,388599
2022,MICHIGAN,MI,1,False,False,LIZ HAKOLA,WORKING CLASS,5510,388599
2022,MICHIGAN,MI,1,False,False,ANDREW GALE,LIBERTARIAN,4592,388599
2022,MICHIGAN,MI,2,False,False,JOHN R MOOLENAAR,REPUBLICAN,216222,339521
2022,MICHIGAN,MI,2,False,False,JERRY HILLIARD,DEMOCRAT,116452,339521
2022,MICHIGAN,MI,2,False,False,NATHAN HEWER,LIBERTARIAN,6847,339521
2022,MICHIGAN,MI,3,False,False,JOHN GIBBS,REPUBLICAN,142229,338988
2022,MICHIGAN,MI,3,False,False,HILLARY SCHOLTEN,DEMOCRAT,185989,338988
2022,MICHIGAN,MI,3,False,False,JAMIE LEWIS,LIBERTARIAN,6634,338988
2022,MICHIGAN,MI,3,False,False,LOUIS PALUS,WORKING CLASS,4136,338988
2022,MICHIGAN,MI,4,False,False,BILL HUIZENGA,REPUBLICAN,183936,338348
2022,MICHIGAN,MI,4,False,False,JOSEPH ALFONSO,DEMOCRAT,143690,338348
2022,MICHIGAN,MI,4,False,False,LORENCE WENKE,LIBERTARIAN,8478,338348
2022,MICHIGAN,MI,4,False,False,CURTIS MICHAEL CLARK,U.S. TAXPAYERS,2244,338348
2022,MICHIGAN,MI,5,False,False,TIM WALBERG,REPUBLICAN,198020,317258
2022,MICHIGAN,MI,5,False,False,BART GOLDBERG,DEMOCRAT,110946,317258
2022,MICHIGAN,MI,5,False,False,NORMAN M PETERSON,LIBERTARIAN,5129,317258
2022,MICHIGAN,MI,5,False,False,EZRA SCOTT,U.S. TAXPAYERS,3162,317258
2022,MICHIGAN,MI,6,False,False,WHITTNEY WILLIAMS,REPUBLICAN,125167,366927
2022,MICHIGAN,MI,6,False,False,DEBBIE DINGELL,DEMOCRAT,241759,366927
2022,MICHIGAN,MI,7,False,False,TOM BARRETT,REPUBLICAN,172624,372708
2022,MICHIGAN,MI,7,False,False,ELISSA SLOTKIN,DEMOCRAT,192809,372708
2022,MICHIGAN,MI,7,False,False,LEAH R DAILEY,LIBERTARIAN,7275,372708
2022,MICHIGAN,MI,8,False,False,PAUL JUNGE,REPUBLICAN,143850,335829
2022,MICHIGAN,MI,8,False,False,DANIEL T KILDEE,DEMOCRAT,178322,335829
2022,MICHIGAN,MI,8,False,False,KATHY GOODWIN,WORKING CLASS,9077,335829
2022,MICHIGAN,MI,8,False,False,DAVID CANNY,LIBERTARIAN,4580,335829
2022,MICHIGAN,MI,9,False,False,LISA MCCLAIN,REPUBLICAN,238300,372922
2022,MICHIGAN,MI,9,False,False,BRIAN JAYE,DEMOCRAT,123702,372922
2022,MICHIGAN,MI,9,False,False,JIM WALKOWICZ,WORKING CLASS,6571,372922
2022,MICHIGAN,MI,9,False,False,JAKE KELTS,LIBERTARIAN,4349,372922
2022,MICHIGAN,MI,10,False,False,JOHN JAMES,REPUBLICAN,159202,326237
2022,MICHIGAN,MI,10,False,False,CARL J MARLINGA,DEMOCRAT,157602,326237
2022,MICHIGAN,MI,10,False,False,ANDREA L KIRBY,WORKING CLASS,5905,326237
2022,MICHIGAN,MI,10,False,False,MIKE SALIBA,LIBERTARIAN,3524,326237
2022,MICHIGAN,MI,11,False,False,MARK AMBROSE,REPUBLICAN,141642,366179
2022,MICHIGAN,MI,11,False,False,HALEY M STEVENS,DEMOCRAT,224537,366179
2022,MICHIGAN,MI,12,False,False,STEVEN ELLIOTT,REPUBLICAN,72888,277577
2022,MICHIGAN,MI,12,False,False,RASHIDA TLAIB,DEMOCRAT,196643,277577
2022,MICHIGAN,MI,12,False,False,GARY WALKOWICZ,WORKING CLASS,8046,277577
2022,MICHIGAN,MI,13,False,False,MARTELL D BIVINGS,REPUBLICAN,56187,234444
2022,MICHIGAN,MI,13,False,False,SHRI THANEDAR,DEMOCRAT,166650,234444
2022,MICHIGAN,MI,13,False,False,SIMONE R COLEMAN,WORKING CLASS,8833,234444
2022,MICHIGAN,MI,13,False,False,CHRIS DARDZINSKI,U.S. TAXPAYERS,2769,234444
2022,MINNESOTA,MN,1,False,False,BRAD FINSTAD,REPUBLICAN,159621,296547
2022,MINNESOTA,MN,1,False,False,JEFF ETTINGER,DEMOCRATIC-FARMER-LABOR,125457,296547
2022,MINNESOTA,MN,1,False,False,RICHARD B REISDORF,LEGAL MARIJUANA NOW,6389,296547
2022,MINNESOTA,MN,1,False,False,BRIAN ABRAHAMSON,GRASSROOTS-LEGALIZE CANNABIS,4943,296547
2022,MINNESOTA,MN,2,False,False,TYLER KISTNER,REPUBLICAN,148576,325472
2022,MINNESOTA,MN,2,False,False,ANGIE CRAIG,DEMOCRAT,165583,325472
2022,MINNESOTA,MN,2,False,False,PAULA M OVERBY,LEGAL MARIJUANA NOW,10728,325472
2022,MINNESOTA,MN,3,False,False,TOM WEILER,REPUBLICAN,134797,333921
2022,MINNESOTA,MN,3,False,False,DEAN PHILLIPS,DEMOCRAT,198883,333921
2022,MINNESOTA,MN,4,False,False,MAY LOR XIONG,REPUBLICAN,95493,295973
2022,MINNESOTA,MN,4,False,False,BETTY MCCOLLUM,DEMOCRAT,200055,295973
2022,MINNESOTA,MN,5,False,False,CICELY DAVIS,REPUBLICAN,70702,288206
2022,MINNESOTA,MN,5,False,False,ILHAN OMAR,DEMOCRAT,214224,288206
2022,MINNESOTA,MN,6,False,False,TOM EMMER,REPUBLICAN,198145,319767
2022,MINNESOTA,MN,6,False,False,JEANNE HENDRICKS,DEMOCRATIC-FARMER-LABOR,120852,319767
2022,MINNESOTA,MN,7,False,False,MICHELLE FISCHBACH,REPUBLICAN,204766,305866
2022,MINNESOTA,MN,7,False,False,JILL ABAHSAIN,DEMOCRATIC-FARMER-LABOR,84455,305866
2022,MINNESOTA,MN,7,False,False,TRAVIS “BULL” JOHNSON,LEGAL MARIJUANA NOW,16421,305866
2022,MINNESOTA,MN,8,False,False,PETE STAUBER,REPUBLICAN,188755,330080
2022,MINNESOTA,MN,8,False,False,JEN SCHULTZ,DEMOCRATIC-FARMER-LABOR,141009,330080
2022,NEW JERSEY,NJ,1,False,False,CLAIRE GUSTAFSON,REPUBLICAN,78794,223884
2022,NEW JERSEY,NJ,1,False,False,DONALD NORCROSS,DEMOCRAT,139559,223884
2022,NEW JERSEY,NJ,1,False,False,PATRICIA KLINE,FOR THE PEOPLE,3343,223884
2022,NEW JERSEY,NJ,1,False,False,ISAIAH FLETCHER,LIBERTARIAN,1546,223884
2022,NEW JERSEY,NJ,1,False,False,ALLEN J CANNON,CANNON FIRE,642,223884
2022,NEW JERSEY,NJ,2,False,False,JEFFERSON VAN DREW,REPUBLICAN,139217,236484
2022,NEW JERSEY,NJ,2,False,False,TIM ALEXANDER,DEMOCRAT,94522,236484
2022,NEW JERSEY,NJ,2,False,False,MICHAEL GALLO,LIBERTARIAN,1825,236484
2022,NEW JERSEY,NJ,2,False,False,ANTHONY PARISI SANCHEZ,NOT FOR SALE,920,236484
2022,NEW JERSEY,NJ,3,False,False,BOB HEALEY,REPUBLICAN,118415,271376
2022,NEW JERSEY,NJ,3,False,False,ANDY KIM,DEMOCRAT,150498,271376
2022,NEW JERSEY,NJ,3,False,False,CHRISTOPHER RUSSOMANNO,LIBERTARIAN,1347,271376
2022,NEW JERSEY,NJ,3,False,False,GREGORY M SOBOCINSKI,GOD SAVE AMERICA,1116,271376
2022,NEW JERSEY,NJ,4,False,False,CHRISTOPHER H SMITH,REPUBLICAN,173288,258962
2022,NEW JERSEY,NJ,4,False,False,MATTHEW JENKINS,DEMOCRAT,81233,258962
2022,NEW JERSEY,NJ,4,False,False,JASON CULLEN,LIBERTARIAN,1902,258962
2022,NEW JERSEY,NJ,4,False,False,DAVID SCHMIDT,WE THE PEOPLE,1197,258962
2022,NEW JERSEY,NJ,4,False,False,HANK SCHROEDER,NO SLOGAN FILED,905,258962
2022,NEW JERSEY,NJ,4,False,False,PAM DANIELS,PROGRESS WITH PAM,437,258962
2022,NEW JERSEY,NJ,5,False,False,FRANK T PALLOTTA,REPUBLICAN,117873,265943
2022,NEW JERSEY,NJ,5,False,False,JOSH GOTTHEIMER,DEMOCRAT,145559,265943
2022,NEW JERSEY,NJ,5,False,False,JEREMY MARCUS,LIBERTARIAN,1193,265943
2022,NEW JERSEY,NJ,5,False,False,TREVOR JAMES FERRIGNO,TOGETHER WE STAND,700,265943
2022,NEW JERSEY,NJ,5,False,False,LOUIS VELLUCCI,AMERICAN VALUES,618,265943
2022,NEW JERSEY,NJ,6,False,False,SUSAN M KILEY,REPUBLICAN,75839,184919
2022,NEW JERSEY,NJ,6,False,False,"FRANK PALLONE, JR",DEMOCRAT,106238,184919
2022,NEW JERSEY,NJ,6,False,False,TARA FISHER,LIBERTARIAN,1361,184919
2022,NEW JERSEY,NJ,6,False,False,INDER JIT SONI,NEW JERSEY FIRST,947,184919
2022,NEW JERSEY,NJ,6,False,False,ERIC ANTISELL,MOVE EVERYONE FORWARD,534,184919
2022,NEW JERSEY,NJ,7,False,False,"THOMAS H KEAN, JR",REPUBLICAN,159392,310093
2022,NEW JERSEY,NJ,7,False,False,TOM MALINOWSKI,DEMOCRAT,150701,310093
2022,NEW JERSEY,NJ,8,False,False,MARCOS ARROYO,REPUBLICAN,24957,106473
2022,NEW JERSEY,NJ,8,False,False,ROBERT J MENENDEZ,DEMOCRAT,78382,106473
2022,NEW JERSEY,NJ,8,False,False,JOANNE KUNIANSKY,SOCIALIST WORKERS,1016,106473
2022,NEW JERSEY,NJ,8,False,False,DAN DELANEY,LIBERTARIAN,758,106473
2022,NEW JERSEY,NJ,8,False,False,DAVID W COOK,OTHER,714,106473
2022,NEW JERSEY,NJ,8,False,False,PABLO OLIVERA,LABOUR PARTY,400,106473
2022,NEW JERSEY,NJ,8,False,False,JOHN V SALIERNO,TRUTH AND MERIT,246,106473
2022,NEW JERSEY,NJ,9,False,False,BILLY PREMPEH,REPUBLICAN,65365,149984
2022,NEW JERSEY,NJ,9,False,False,"BILL PASCRELL, JR",DEMOCRAT,82457,149984
2022,NEW JERSEY,NJ,9,False,False,LEA SHERMAN,SOCIALIST WORKERS,1108,149984
2022,NEW JERSEY,NJ,9,False,False,SEAN ARMSTRONG,LIBERTARIAN,1054,149984
2022,NEW JERSEY,NJ,10,False,False,DAVID H PINCKNEY,REPUBLICAN,25993,129707
2022,NEW JERSEY,NJ,10,False,False,"DONALD M PAYNE, JR",DEMOCRAT,100710,129707
2022,NEW JERSEY,NJ,10,False,False,CYNTHIA A JOHNSON,JOBS AND JUSTICE,1989,129707
2022,NEW JERSEY,NJ,10,False,False,KENDAL LUDDEN,LIBERTARIAN,634,129707
2022,NEW JERSEY,NJ,10,False,False,"CLENARD HOWARD CHILDRESS, JR",THE MAHALI PARTY,381,129707
2022,NEW JERSEY,NJ,11,False,False,PAUL DEGROOT,REPUBLICAN,109952,273664
2022,NEW JERSEY,NJ,11,False,False,MIKIE SHERRILL,DEMOCRAT,161436,273664
2022,NEW JERSEY,NJ,11,False,False,JOSEPH BIASCO,LIBERTARIAN,2276,273664
2022,NEW JERSEY,NJ,12,False,False,DARIUS MAYFIELD,REPUBLICAN,71175,198227
2022,NEW JERSEY,NJ,12,False,False,BONNIE WATSON COLEMAN,DEMOCRAT,125127,198227
2022,NEW JERSEY,NJ,12,False,False,C LYNN GENRICH,LIBERTARIAN,1925,198227
2022,NEW YORK,NY,1,False,False,NICHOLAS J LALOTA,REPUBLICAN,154046,327052
2022,NEW YORK,NY,1,False,False,NICHOLAS J LALOTA,CONSERVATIVE,22994,327052
2022,NEW YORK,NY,1,False,False,BRIDGET FLEMING,DEMOCRAT,135170,327052
2022,NEW YORK,NY,1,False,False,BRIDGET FLEMING,WORKING FAMILIES,6737,327052
2022,NEW YORK,NY,1,False,False,BLANK,,7991,327052
2022,NEW YORK,NY,1,False,False,VOID,,66,327052
2022,NEW YORK,NY,1,False,False,SCATTERING,,48,327052
2022,NEW YORK,NY,2,False,False,ANDREW R GARBARINO,REPUBLICAN,130798,256117
2022,NEW YORK,NY,2,False,False,ANDREW R GARBARINO,CONSERVATIVE,20380,256117
2022,NEW YORK,NY,2,False,False,JACKIE GORDON,DEMOCRAT,93299,256117
2022,NEW YORK,NY,2,False,False,JACKIE GORDON,WORKING FAMILIES,4475,256117
2022,NEW YORK,NY,2,False,False,BLANK,,6979,256117
2022,NEW YORK,NY,2,False,False,VOID,,106,256117
2022,NEW YORK,NY,2,False,False,SCATTERING,,80,256117
2022,NEW YORK,NY,3,False,False,GEORGE A D SANTOS,REPUBLICAN,133859,279772
2022,NEW YORK,NY,3,False,False,GEORGE A D SANTOS,CONSERVATIVE,11965,279772
2022,NEW YORK,NY,3,False,False,ROBERT P ZIMMERMAN,DEMOCRAT,120045,279772
2022,NEW YORK,NY,3,False,False,ROBERT P ZIMMERMAN,WORKING FAMILIES,5359,279772
2022,NEW YORK,NY,3,False,False,BLANK,,8340,279772
2022,NEW YORK,NY,3,False,False,SCATTERING,,103,279772
2022,NEW YORK,NY,3,False,False,VOID,,101,279772
2022,NEW YORK,NY,4,False,False,ANTHONY P D’ESPOSITO,REPUBLICAN,129353,278548
2022,NEW YORK,NY,4,False,False,ANTHONY P D’ESPOSITO,CONSERVATIVE,11269,278548
2022,NEW YORK,NY,4,False,False,LAURA A GILLEN,DEMOCRAT,130871,278548
2022,NEW YORK,NY,4,False,False,BLANK,,6904,278548
2022,NEW YORK,NY,4,False,False,VOID,,84,278548
2022,NEW YORK,NY,4,False,False,SCATTERING,,67,278548
2022,NEW YORK,NY,5,False,False,PAUL KING,REPUBLICAN,31405,144316
2022,NEW YORK,NY,5,False,False,PAUL KING,CONSERVATIVE,3002,144316
2022,NEW YORK,NY,5,False,False,GREGORY W MEEKS,DEMOCRAT,104396,144316
2022,NEW YORK,NY,5,False,False,BLANK,,5329,144316
2022,NEW YORK,NY,5,False,False,SCATTERING,,184,144316
2022,NEW YORK,NY,6,False,False,THOMAS J ZMICH,REPUBLICAN,44264,137692
2022,NEW YORK,NY,6,False,False,THOMAS J ZMICH,CONSERVATIVE,3240,137692
2022,NEW YORK,NY,6,False,False,THOMAS J ZMICH,MEDICAL FREEDOM,431,137692
2022,NEW YORK,NY,6,False,False,GRACE MENG,DEMOCRAT,85049,137692
2022,NEW YORK,NY,6,False,False,BLANK,,4578,137692
2022,NEW YORK,NY,6,False,False,SCATTERING,,130,137692
2022,NEW YORK,NY,7,False,False,JUAN PAGAN,REPUBLICAN,26351,153557
2022,NEW YORK,NY,7,False,False,JUAN PAGAN,CONSERVATIVE,2246,153557
2022,NEW YORK,NY,7,False,False,NYDIA M VELÁZQUEZ,DEMOCRAT,95645,153557
2022,NEW YORK,NY,7,False,False,NYDIA M VELÁZQUEZ,WORKING FAMILIES,23828,153557
2022,NEW YORK,NY,7,False,False,BLANK,,5253,153557
2022,NEW YORK,NY,7,False,False,SCATTERING,,234,153557
2022,NEW YORK,NY,8,False,False,YURI DASHEVSKY,REPUBLICAN,36776,144476
2022,NEW YORK,NY,8,False,False,YURI DASHEVSKY,CONSERVATIVE,2284,144476
2022,NEW YORK,NY,8,False,False,HAKEEM S JEFFRIES,DEMOCRAT,99079,144476
2022,NEW YORK,NY,8,False,False,BLANK,,6146,144476
2022,NEW YORK,NY,8,False,False,SCATTERING,,191,144476
2022,NEW YORK,NY,9,False,False,YVETTE D CLARKE,DEMOCRAT,99771,167533
2022,NEW YORK,NY,9,False,False,YVETTE D CLARKE,WORKING FAMILIES,17199,167533
2022,NEW YORK,NY,9,False,False,MENACHEM M RAITPORT,CONSERVATIVE,26521,167533
2022,NEW YORK,NY,9,False,False,BLANK,,23680,167533
2022,NEW YORK,NY,9,False,False,SCATTERING,,362,167533
2022,NEW YORK,NY,10,False,False,BENINE A HAMDAN,REPUBLICAN,26711,202131
2022,NEW YORK,NY,10,False,False,BENINE A HAMDAN,CONSERVATIVE,2347,202131
2022,NEW YORK,NY,10,False,False,DANIEL GOLDMAN,DEMOCRAT,160582,202131
2022,NEW YORK,NY,10,False,False,STEVE F SPEER,MEDICAL FREEDOM,1447,202131
2022,NEW YORK,NY,10,False,False,BLANK,,9784,202131
2022,NEW YORK,NY,10,False,False,SCATTERING,,1260,202131
2022,NEW YORK,NY,11,False,False,NICOLE MALLIOTAKIS,REPUBLICAN,107989,191083
2022,NEW YORK,NY,11,False,False,NICOLE MALLIOTAKIS,CONSERVATIVE,8003,191083
2022,NEW YORK,NY,11,False,False,MAX N ROSE,DEMOCRAT,71801,191083
2022,NEW YORK,NY,11,False,False,BLANK,,2984,191083
2022,NEW YORK,NY,11,False,False,SCATTERING,,306,191083
2022,NEW YORK,NY,12,False,False,MICHAEL K ZUMBLUSKAS,REPUBLICAN,40994,251078
2022,NEW YORK,NY,12,False,False,MICHAEL K ZUMBLUSKAS,CONSERVATIVE,2715,251078
2022,NEW YORK,NY,12,False,False,MICHAEL K ZUMBLUSKAS,PARENT,464,251078
2022,NEW YORK,NY,12,False,False,JERROLD NADLER,DEMOCRAT,184872,251078
2022,NEW YORK,NY,12,False,False,JERROLD NADLER,WORKING FAMILIES,16018,251078
2022,NEW YORK,NY,12,False,False,MIKHAIL ITKIS,ITKIS CAMPAIGN,631,251078
2022,NEW YORK,NY,12,False,False,BLANK,,4973,251078
2022,NEW YORK,NY,12,False,False,SCATTERING,,411,251078
2022,NEW YORK,NY,13,False,False,ADRIANO ESPAILLAT,DEMOCRAT,116589,142795
2022,NEW YORK,NY,13,False,False,BLANK,,24949,142795
2022,NEW YORK,NY,13,False,False,SCATTERING,,1257,142795
2022,NEW YORK,NY,14,False,False,TINA FORTE,REPUBLICAN,31935,122582
2022,NEW YORK,NY,14,False,False,ALEXANDRIA OCASIO-CORTEZ,DEMOCRAT,74050,122582
2022,NEW YORK,NY,14,False,False,ALEXANDRIA OCASIO-CORTEZ,WORKING FAMILIES,8403,122582
2022,NEW YORK,NY,14,False,False,DESI CUELLAR,CONSERVATIVE,2208,122582
2022,NEW YORK,NY,14,False,False,BLANK,,5792,122582
2022,NEW YORK,NY,14,False,False,SCATTERING,,194,122582
2022,NEW YORK,NY,15,False,False,STYLO A SAPASKIS,REPUBLICAN,15882,101732
2022,NEW YORK,NY,15,False,False,RITCHIE TORRES,DEMOCRAT,76406,101732
2022,NEW YORK,NY,15,False,False,BLANK,,9342,101732
2022,NEW YORK,NY,15,False,False,SCATTERING,,102,101732
2022,NEW YORK,NY,16,False,False,MIRIAM L FLISSER,REPUBLICAN,74156,221597
2022,NEW YORK,NY,16,False,False,JAMAAL BOWMAN,DEMOCRAT,127024,221597
2022,NEW YORK,NY,16,False,False,JAMAAL BOWMAN,WORKING FAMILIES,6543,221597
2022,NEW YORK,NY,16,False,False,BLANK,,13669,221597
2022,NEW YORK,NY,16,False,False,SCATTERING,,205,221597
2022,NEW YORK,NY,17,False,False,MICHAEL V LAWLER,REPUBLICAN,125738,291308
2022,NEW YORK,NY,17,False,False,MICHAEL V LAWLER,CONSERVATIVE,17812,291308
2022,NEW YORK,NY,17,False,False,SEAN PATRICK MALONEY,DEMOCRAT,133457,291308
2022,NEW YORK,NY,17,False,False,SEAN PATRICK MALONEY,WORKING FAMILIES,8273,291308
2022,NEW YORK,NY,17,False,False,BLANK,,5826,291308
2022,NEW YORK,NY,17,False,False,SCATTERING,,150,291308
2022,NEW YORK,NY,17,False,False,VOID,,52,291308
2022,NEW YORK,NY,18,False,False,COLIN J SCHMITT,REPUBLICAN,116972,272617
2022,NEW YORK,NY,18,False,False,COLIN J SCHMITT,CONSERVATIVE,14681,272617
2022,NEW YORK,NY,18,False,False,PATRICK RYAN,DEMOCRAT,123168,272617
2022,NEW YORK,NY,18,False,False,PATRICK RYAN,WORKING FAMILIES,12077,272617
2022,NEW YORK,NY,18,False,False,BLANK,,5482,272617
2022,NEW YORK,NY,18,False,False,SCATTERING,,155,272617
2022,NEW YORK,NY,18,False,False,VOID,,82,272617
2022,NEW YORK,NY,19,False,False,MARCUS MOLINARO,REPUBLICAN,129960,292577
2022,NEW YORK,NY,19,False,False,MARCUS MOLINARO,CONSERVATIVE,16044,292577
2022,NEW YORK,NY,19,False,False,JOSH RILEY,DEMOCRAT,124396,292577
2022,NEW YORK,NY,19,False,False,JOSH RILEY,WORKING FAMILIES,17113,292577
2022,NEW YORK,NY,19,False,False,BLANK,,4894,292577
2022,NEW YORK,NY,19,False,False,SCATTERING,,105,292577
2022,NEW YORK,NY,19,False,False,VOID,,65,292577
2022,NEW YORK,NY,20,False,False,ELIZABETH L JOY,REPUBLICAN,110903,295722
2022,NEW YORK,NY,20,False,False,ELIZABETH L JOY,CONSERVATIVE,19966,295722
2022,NEW YORK,NY,20,False,False,PAUL TONKO,DEMOCRAT,145928,295722
2022,NEW YORK,NY,20,False,False,PAUL TONKO,WORKING FAMILIES,14492,295722
2022,NEW YORK,NY,20,False,False,BLANK,,4184,295722
2022,NEW YORK,NY,20,False,False,SCATTERING,,144,295722
2022,NEW YORK,NY,20,False,False,VOID,,105,295722
2022,NEW YORK,NY,21,False,False,ELISE M STEFANIK,REPUBLICAN,150595,289617
2022,NEW YORK,NY,21,False,False,ELISE M STEFANIK,CONSERVATIVE,17984,289617
2022,NEW YORK,NY,21,False,False,MATT CASTELLI,DEMOCRAT,112645,289617
2022,NEW YORK,NY,21,False,False,MODERATE,,3776,289617
2022,NEW YORK,NY,21,False,False,BLANK,,4471,289617
2022,NEW YORK,NY,21,False,False,SCATTERING,,95,289617
2022,NEW YORK,NY,21,False,False,VOID,,51,289617
