year,state,state_po,district,runoff,special,candidate,party,candidatevotes,totalvotes
2022,CALIFORNIA,CA,11,False,False,JOHN DENNIS,REPUBLICAN,42217,263065
2022,CALIFORNIA,CA,11,False,False,NANCY PELOSI,DEMOCRAT,220848,263065
2022,CALIFORNIA,CA,12,False,False,STEPHEN SLAUSON,REPUBLICAN,22859,239969
2022,CALIFORNIA,CA,12,False,False,BARBARA LEE,DEMOCRAT,217110,239969
2022,CALIFORNIA,CA,13,False,False,JOHN DUARTE,REPUBLICAN,67060,133556
2022,CALIFORNIA,CA,13,False,False,ADAM GRAY,DEMOCRAT,66496,133556
2022,CALIFORNIA,CA,14,False,False,ALISON HAYDEN,REPUBLICAN,60852,198464
2022,CALIFORNIA,CA,14,False,False,ERIC SWALWELL,DEMOCRAT,137612,198464
2022,CALIFORNIA,CA,15,False,False,KEVIN MULLIN,DEMOCRAT,108077,194874
2022,CALIFORNIA,CA,15,False,False,DAVID J CANEPA,DEMOCRAT,86797,194874
2022,CALIFORNIA,CA,16,False,False,ANNA G ESHOO,DEMOCRAT,139235,241007
2022,CALIFORNIA,CA,16,False,False,RISHI KUMAR,DEMOCRAT,101772,241007
2022,CALIFORNIA,CA,17,False,False,RITESH TANDON,REPUBLICAN,52400,180253
2022,CALIFORNIA,CA,17,False,False,RO KHANNA,DEMOCRAT,127853,180253
2022,CALIFORNIA,CA,18,False,False,PETER HERNANDEZ,REPUBLICAN,51737,151513
2022,CALIFORNIA,CA,18,False,False,ZOE LOFGREN,DEMOCRAT,99776,151513
2022,CALIFORNIA,CA,19,False,False,JEFF GORMAN,REPUBLICAN,88816,283310
2022,CALIFORNIA,CA,19,False,False,JIMMY PANETTA,DEMOCRAT,194494,283310
2022,CALIFORNIA,CA,20,False,False,KEVIN MCCARTHY,REPUBLICAN,153847,228781
2022,CALIFORNIA,CA,20,False,False,MARISA WOOD,DEMOCRAT,74934,228781
2022,CALIFORNIA,CA,21,False,False,MICHAEL MAHER,REPUBLICAN,57573,125647
2022,CALIFORNIA,CA,21,False,False,JIM COSTA,DEMOCRAT,68074,125647
2022,CALIFORNIA,CA,22,False,False,DAVID G VALADAO,REPUBLICAN,52994,102856
2022,CALIFORNIA,CA,22,False,False,RUDY SALAS,DEMOCRAT,49862,102856
2022,CALIFORNIA,CA,23,False,False,JAY OBERNOLTE,REPUBLICAN,103197,169105
2022,CALIFORNIA,CA,23,False,False,DEREK MARSHALL,DEMOCRAT,65908,169105
2022,CALIFORNIA,CA,24,False,False,BRAD ALLEN,REPUBLICAN,103533,262552
2022,CALIFORNIA,CA,24,False,False,SALUD O CARBAJAL,DEMOCRAT,159019,262552
2022,CALIFORNIA,CA,25,False,False,BRIAN E HAWKINS,REPUBLICAN,65101,152742
2022,CALIFORNIA,CA,25,False,False,RAUL RUIZ,DEMOCRAT,87641,152742
2022,CALIFORNIA,CA,26,False,False,MATT JACOBS,REPUBLICAN,112214,246789
2022,CALIFORNIA,CA,26,False,False,JULIA BROWNLEY,DEMOCRAT,134575,246789
2022,CALIFORNIA,CA,27,False,False,MIKE GARCIA,REPUBLICAN,104624,196516
2022,CALIFORNIA,CA,27,False,False,CHRISTY SMITH,DEMOCRAT,91892,196516
2022,CALIFORNIA,CA,28,False,False,WES HALLMAN,REPUBLICAN,76495,226557
2022,CALIFORNIA,CA,28,False,False,JUDY CHU,DEMOCRAT,150062,226557
2022,CALIFORNIA,CA,29,False,False,TONY CÁRDENAS,DEMOCRAT,69915,119435
2022,CALIFORNIA,CA,29,False,False,ANGÉLICA MARIA DUEÑAS,DEMOCRAT,49520,119435
2022,CALIFORNIA,CA,30,False,False,ADAM B SCHIFF,DEMOCRAT,150100,211068
2022,CALIFORNIA,CA,30,False,False,G “MAEBE A GIRL” PUDLO,DEMOCRAT,60968,211068
2022,CALIFORNIA,CA,31,False,False,DANIEL BOCIC MARTINEZ,REPUBLICAN,62153,153625
2022,CALIFORNIA,CA,31,False,False,GRACE F NAPOLITANO,DEMOCRAT,91472,153625
2022,CALIFORNIA,CA,32,False,False,LUCIE LAPOINTE VOLOTZKY,REPUBLICAN,74618,242029
2022,CALIFORNIA,CA,32,False,False,BRAD SHERMAN,DEMOCRAT,167411,242029
2022,CALIFORNIA,CA,33,False,False,JOHN MARK PORTER,REPUBLICAN,56119,132707
2022,CALIFORNIA,CA,33,False,False,PETE AGUILAR,DEMOCRAT,76588,132707
2022,CALIFORNIA,CA,34,False,False,JIMMY GOMEZ,DEMOCRAT,62244,121467
2022,CALIFORNIA,CA,34,False,False,DAVID KIM,DEMOCRAT,59223,121467
2022,CALIFORNIA,CA,35,False,False,MIKE CARGILE,REPUBLICAN,55832,130953
2022,CALIFORNIA,CA,35,False,False,NORMA J TORRES,DEMOCRAT,75121,130953
2022,CALIFORNIA,CA,36,False,False,JOE E COLLINS III,REPUBLICAN,84264,278563
2022,CALIFORNIA,CA,36,False,False,TED LIEU,DEMOCRAT,194299,278563
2022,CALIFORNIA,CA,37,False,False,SYDNEY KAMLAGER,DEMOCRAT,84338,131880
2022,CALIFORNIA,CA,37,False,False,JAN C PERRY,DEMOCRAT,47542,131880
2022,CALIFORNIA,CA,38,False,False,ERIC J CHING,REPUBLICAN,73051,174311
2022,CALIFORNIA,CA,38,False,False,LINDA T SÁNCHEZ,DEMOCRAT,101260,174311
2022,CALIFORNIA,CA,39,False,False,AJA SMITH,REPUBLICAN,55701,131597
