race_id,district_id,year,total_votes,winner_name,winner_party,winner_CAND_ICI,runner_up_name,runner_up_party,runner_up_CAND_ICI,margin_of_victory,spending_winner,spending_runner_up,pvi,NHE,spending_ratio,adjusted_margin
NJ_2_2018,NJ_2,2018,258363,JEFF VAN DREW,Democrat,O,SETH GROSSMAN,Republican,O,7.67,1893108.28,308650.87,1.0,-8.6,6.133494067261174,0.07
NJ_2_2020,NJ_2,2020,376547,JEFFERSON VAN DREW,Republican,I,AMY KENNEDY,Democrat,C,5.76,4138860.95,5042549.44,1.0,-3.1,0.8207873813132113,7.86
NJ_3_2012,NJ_3,2012,324399,JON RUNYAN,Republican,I,SHELLEY ADLER,Democrat,C,8.86,1999879.25,1047627.22,2.0,-1.1,1.9089607560979562,7.96
NJ_3_2014,NJ_3,2014,186103,TOM MACARTHUR,Republican,O,AIMEE BELGARD,Democrat,O,9.64,5648742.47,1773981.28,1.0,5.7,3.184217631653926,2.94
NJ_3_2018,NJ_3,2018,306875,ANDY KIM,Democrat,C,TOM MACARTHUR,Republican,I,1.29,6375721.12,4764500.11,2.0,-8.6,1.3381721004934555,-5.31
NJ_3_2020,NJ_3,2020,431762,ANDY KIM,Democrat,I,DAVID RICHTER,Republican,C,7.76,6869993.74,1555148.13,2.0,-3.1,4.417581584334349,6.66
NJ_5_2012,NJ_5,2012,304371,SCOTT GARRETT,Republican,I,ADAM GUSSEN,Democrat,C,12.29,1110176.9,51444.28,4.0,-1.1,21.580181509003527,9.39
NJ_5_2014,NJ_5,2014,188921,SCOTT GARRETT,Republican,I,ROY CHO,Democrat,C,12.11,2245456.46,1251518.41,4.0,5.7,1.7941857203682685,2.41
NJ_5_2016,NJ_5,2016,337701,JOSHUA S GOTTHEIMER,Democrat,C,SCOTT GARRETT,Republican,I,4.41,4720617.11,4361463.81,4.0,1.1,1.0823469632320533,9.51
NJ_5_2018,NJ_5,2018,301823,JOSH GOTTHEIMER,Democrat,I,JOHN J MCCANN JR,Republican,C,13.68,2936325.74,936653.3,3.0,-8.6,3.134912074723913,8.08
NJ_5_2020,NJ_5,2020,423636,JOSH GOTTHEIMER,Democrat,I,FRANK T PALLOTTA,Republican,C,7.52,3593230.36,2077177.03,3.0,-3.1,1.7298623603593382,7.42
NJ_7_2014,NJ_7,2014,175997,LEONARD LANCE,Republican,I,JANICE KOVACH,Democrat,C,20.49,1031919.89,116468.28,6.0,5.7,8.860093838425364,8.79
NJ_7_2016,NJ_7,2016,343635,LEONARD LANCE,Republican,I,PETER JACOB,Democrat,C,10.96,1278475.07,305973.52,6.0,1.1,4.178384685053792,3.86
NJ_7_2018,NJ_7,2018,322742,TOM MALINOWSKI,Democrat,C,LEONARD LANCE,Republican,I,5.02,6246478.55,2747582.63,3.0,-8.6,2.273445202992858,-0.58
NJ_7_2020,NJ_7,2020,433947,TOM MALINOWSKI,Democrat,I,THOMAS H KEAN JR,Republican,C,1.22,7503596.87,3840650.57,3.0,-3.1,1.9537306852677307,1.12
NM_1_2018,NM_1,2018,249162,DEBRA A HAALAND,Democrat,O,JANICE E ARNOLD-JONES,Republican,O,22.81,2187367.02,319022.65,-7.0,-8.6,6.856463075584132,7.21
NM_1_2020,NM_1,2020,321290,DEBRA A HAALAND,Democrat,I,MICHELLE GARCIA HOLMES,Republican,C,16.38,1903520.46,383583.73,-7.0,-3.1,4.962464023174289,6.28
NM_2_2018,NM_2,2018,199256,XOCHITL TORRES SMALL,Democrat,O,YVETTE HERRELL,Republican,O,1.87,4641990.04,1341381.29,6.0,-8.6,3.460604434105384,-0.73
NM_2_2020,NM_2,2020,264946,YVETTE HERRELL,Republican,C,XOCHITL TORRES SMALL,Democrat,I,7.45,2984195.58,8630945.41,6.0,-3.1,0.3457553533524203,4.55
NV_3_2012,NV_3,2012,272523,JOSEPH J HECK,Republican,I,JOHN OCEGUERA,Democrat,C,7.49,2346654.27,1530430.82,0.0,-1.1,1.5333292033415793,8.59
NV_3_2016,NV_3,2016,310963,JACKY ROSEN,Democrat,O,DANNY TARKANIAN,Republican,O,1.27,1715492.88,2074061.09,0.0,1.1,0.8271178164766593,2.37
NV_3_2018,NV_3,2018,286168,SUSIE LEE,Democrat,O,DANNY TARKANIAN,Republican,O,9.06,5075147.2,2492030.66,2.0,-8.6,2.0365508665130148,2.46
NV_3_2020,NV_3,2020,417252,SUSIE LEE,Democrat,I,"DAN ""BIG DAN"" RODIMER",Republican,C,2.98,4781542.68,3131213.48,2.0,-3.1,1.527057388626214,1.88
NV_4_2012,NV_4,2012,240492,STEVEN A HORSFORD,Democrat,I,DANNY TARKANIAN,Republican,C,8.0,1705209.95,1332798.71,-2.0,-1.1,1.279420468526714,4.9
