CAND_ICI,TTL_RECEIPTS,candidatevotes,spending_per_vote
C,375335.98705511226,80745.55279272592,4.6483796825145385
I,2699111.1822333126,79929.52651278852,33.7686371981881
O,484966.9153571429,70126.05089285714,6.915645600778304
