candidate
CARLOS A GIMENEZ
ROBERT ASENCIO
EARL L “BUDDY” CARTER
WADE HERRING
CHRIS WEST
"SANFORD D BISHOP, JR"
A DREW FERGUSON IV
VAL ALMONORD
JONATHAN CHAVEZ
"HENRY C “HANK” JOHNSON, JR"
CHRISTIAN ZIMM
NIKEMA WILLIAMS
RICH MCCORMICK
BOB CHRISTIAN
MARK GONSALVES
LUCY MCBATH
AUSTIN SCOTT
DARRIUS BUTLER
ANDREW S CLYDE
MICHAEL “MIKE” FORD
MIKE COLLINS
TABITHA JOHNSON-GREEN
BARRY LOUDERMILK
ANTONIO DAZA
RICK W ALLEN
ELIZABETH “LIZ” JOHNSON
CAESAR GONZALES
DAVID SCOTT
MARJORIE TAYLOR GREENE
MARCUS FLOWERS
ERIC CARLSON
JONATHAN L JACKSON
THOMAS LYNCH
ROBIN L KELLY
JUSTIN BURAU
DELIA RAMIREZ
JAMES FALAKOS
JESÚS G “CHUY” GARCÍA
EDWARD HERSHEY
TOMMY HANSON
MIKE QUIGLEY
JERICO MATIAS CRUZ
KEITH PEKAU
SEAN CASTEN
DANNY K DAVIS
CHRIS DARGIS
RAJA KRISHNAMOORTHI
MAXWELL “MAX” RICE
JANICE D SCHAKOWSKY
JOSEPH SEVERINO
BRADLEY SCOTT SCHNEIDER
CATALINA LAUF
BILL FOSTER
MIKE BOST
HOMER “CHIP” MARKEL
REGAN DEERING
NIKKI BUDZINSKI
SCOTT R GRYDER
LAUREN UNDERWOOD
MARY E MILLER
PAUL J LANGE
DARIN LAHOOD
ELIZABETH “LISA” HADERLEIN
ESTHER JOY KING
ERIC SORENSEN
ANDY HARRIS
HEATHER R MIZEUR
DANIEL FRANK THIBEAULT
NICOLEE AMBROSE
C A DUTCH RUPPERSBERGER
YURIPZY MORGAN
JOHN P SARBANES
JEFF WARNER
GLENN F IVEY
CHRIS PALOMBI
STENY H HOYER
NEIL C PARROTT
DAVID J TRONE
SCOTT M COLLIER
KWEISI MFUME
GREGORY THOMAS COLL
JAMIE RASKIN
ANDRÉS GARCIA
DEAN JAMES MARTILLI
RICHARD E NEAL
BLANKS
ALL OTHERS
JEFFREY A SOSSA-PAQUETTE
JAMES P MCGOVERN
BLANKS
ALL OTHERS
DEAN A TRAN
LORI TRAHAN
BLANKS
ALL OTHERS
JAKE AUCHINCLOSS
BLANKS
ALL OTHERS
CAROLINE COLARUSSO
KATHERINE M CLARK
BLANKS
ALL OTHERS
BOB MAY
SETH MOULTON
MARK T TASHJIAN
BLANKS
ALL OTHERS
"DONNIE DIONICIO PALMER, JR"
AYANNA PRESSLEY
BLANKS
ALL OTHERS
ROBERT G BURKE
STEPHEN F LYNCH
BLANKS
ALL OTHERS
JESSE G BROWN
WILLIAM R KEATING
BLANKS
ALL OTHERS
JACK BERGMAN
BOB LORINSER
LIZ HAKOLA
ANDREW GALE
JOHN R MOOLENAAR
JERRY HILLIARD
NATHAN HEWER
JOHN GIBBS
HILLARY SCHOLTEN
JAMIE LEWIS
LOUIS PALUS
BILL HUIZENGA
JOSEPH ALFONSO
LORENCE WENKE
CURTIS MICHAEL CLARK
TIM WALBERG
BART GOLDBERG
NORMAN M PETERSON
EZRA SCOTT
WHITTNEY WILLIAMS
DEBBIE DINGELL
TOM BARRETT
ELISSA SLOTKIN
LEAH R DAILEY
PAUL JUNGE
DANIEL T KILDEE
KATHY GOODWIN
DAVID CANNY
LISA MCCLAIN
BRIAN JAYE
JIM WALKOWICZ
JAKE KELTS
JOHN JAMES
CARL J MARLINGA
ANDREA L KIRBY
MIKE SALIBA
MARK AMBROSE
HALEY M STEVENS
STEVEN ELLIOTT
RASHIDA TLAIB
GARY WALKOWICZ
MARTELL D BIVINGS
SHRI THANEDAR
SIMONE R COLEMAN
CHRIS DARDZINSKI
BRAD FINSTAD
JEFF ETTINGER
RICHARD B REISDORF
BRIAN ABRAHAMSON
TYLER KISTNER
ANGIE CRAIG
PAULA M OVERBY
TOM WEILER
DEAN PHILLIPS
MAY LOR XIONG
BETTY MCCOLLUM
CICELY DAVIS
ILHAN OMAR
TOM EMMER
JEANNE HENDRICKS
MICHELLE FISCHBACH
JILL ABAHSAIN
TRAVIS “BULL” JOHNSON
PETE STAUBER
JEN SCHULTZ
CLAIRE GUSTAFSON
DONALD NORCROSS
PATRICIA KLINE
ISAIAH FLETCHER
ALLEN J CANNON
JEFFERSON VAN DREW
TIM ALEXANDER
MICHAEL GALLO
ANTHONY PARISI SANCHEZ
BOB HEALEY
ANDY KIM
CHRISTOPHER RUSSOMANNO
GREGORY M SOBOCINSKI
CHRISTOPHER H SMITH
MATTHEW JENKINS
JASON CULLEN
DAVID SCHMIDT
HANK SCHROEDER
PAM DANIELS
FRANK T PALLOTTA
JOSH GOTTHEIMER
JEREMY MARCUS
TREVOR JAMES FERRIGNO
LOUIS VELLUCCI
SUSAN M KILEY
"FRANK PALLONE, JR"
TARA FISHER
INDER JIT SONI
ERIC ANTISELL
"THOMAS H KEAN, JR"
TOM MALINOWSKI
MARCOS ARROYO
ROBERT J MENENDEZ
JOANNE KUNIANSKY
DAN DELANEY
DAVID W COOK
PABLO OLIVERA
JOHN V SALIERNO
BILLY PREMPEH
"BILL PASCRELL, JR"
LEA SHERMAN
SEAN ARMSTRONG
DAVID H PINCKNEY
"DONALD M PAYNE, JR"
CYNTHIA A JOHNSON
KENDAL LUDDEN
"CLENARD HOWARD CHILDRESS, JR"
PAUL DEGROOT
MIKIE SHERRILL
JOSEPH BIASCO
DARIUS MAYFIELD
BONNIE WATSON COLEMAN
C LYNN GENRICH
NICHOLAS J LALOTA
NICHOLAS J LALOTA
BRIDGET FLEMING
BRIDGET FLEMING
BLANK
VOID
SCATTERING
ANDREW R GARBARINO
ANDREW R GARBARINO
JACKIE GORDON
JACKIE GORDON
BLANK
VOID
SCATTERING
GEORGE A D SANTOS
GEORGE A D SANTOS
ROBERT P ZIMMERMAN
ROBERT P ZIMMERMAN
BLANK
SCATTERING
VOID
ANTHONY P D’ESPOSITO
ANTHONY P D’ESPOSITO
LAURA A GILLEN
BLANK
VOID
SCATTERING
PAUL KING
PAUL KING
GREGORY W MEEKS
BLANK
SCATTERING
THOMAS J ZMICH
THOMAS J ZMICH
THOMAS J ZMICH
GRACE MENG
BLANK
SCATTERING
JUAN PAGAN
JUAN PAGAN
NYDIA M VELÁZQUEZ
NYDIA M VELÁZQUEZ
BLANK
SCATTERING
YURI DASHEVSKY
YURI DASHEVSKY
HAKEEM S JEFFRIES
BLANK
SCATTERING
YVETTE D CLARKE
YVETTE D CLARKE
MENACHEM M RAITPORT
BLANK
SCATTERING
BENINE A HAMDAN
BENINE A HAMDAN
DANIEL GOLDMAN
STEVE F SPEER
BLANK
SCATTERING
NICOLE MALLIOTAKIS
NICOLE MALLIOTAKIS
MAX N ROSE
BLANK
SCATTERING
MICHAEL K ZUMBLUSKAS
MICHAEL K ZUMBLUSKAS
MICHAEL K ZUMBLUSKAS
JERROLD NADLER
JERROLD NADLER
MIKHAIL ITKIS
BLANK
SCATTERING
ADRIANO ESPAILLAT
BLANK
SCATTERING
TINA FORTE
ALEXANDRIA OCASIO-CORTEZ
ALEXANDRIA OCASIO-CORTEZ
DESI CUELLAR
BLANK
SCATTERING
STYLO A SAPASKIS
RITCHIE TORRES
BLANK
SCATTERING
MIRIAM L FLISSER
JAMAAL BOWMAN
JAMAAL BOWMAN
BLANK
SCATTERING
MICHAEL V LAWLER
MICHAEL V LAWLER
SEAN PATRICK MALONEY
SEAN PATRICK MALONEY
BLANK
SCATTERING
VOID
COLIN J SCHMITT
COLIN J SCHMITT
PATRICK RYAN
PATRICK RYAN
BLANK
SCATTERING
VOID
MARCUS MOLINARO
MARCUS MOLINARO
JOSH RILEY
JOSH RILEY
BLANK
SCATTERING
VOID
